Soil Type,Average Temperature (°C),Average Rainfall (mm),Sunlight Hours (hours),Historical Crop Yields,Predicted Crop Type,Predicted Crop Yield,Confidence Score for Prediction
Sandy soil,27.87203866,2649.342017,8.514032375,4.512335861,Pulses,High,0.7304409443
Black soil,17.17597337,1109.268207,11.79300286,3.926862608,Commercial,Low,0.782724882
Loamy soil,19.14521938,2376.958596,6.642634019,1.806760224,Cereal,Medium,0.9320769298
Sandy soil,21.63375369,1305.178906,6.100203684,3.393256597,Fruit/Vegetable,Medium,0.7849409112
Red soil,15.6005112,2762.842984,7.243504222,1.926122939,Pulses,Medium,0.9216737682
Sandy soil,20.80184256,853.5528386,8.386289989,4.181409992,Cereal,High,0.6743143222
Black soil,26.65094607,1334.620167,9.348502561,4.824080237,Cereal,Medium,0.7585374435
Clayey soil,39.44741882,1885.212227,9.959559552,2.281704002,Commercial,High,0.7308637412
Red soil,38.43649594,1258.980375,5.614651927,4.723300858,Commercial,High,0.7065364487
Loamy soil,28.22996203,1604.900705,7.104486158,1.295679383,Cereal,Low,0.7284490989
Loamy soil,32.64942365,2515.543439,6.196958174,4.533741743,Pulses,Low,0.5530273628
Red soil,19.05480922,1718.377653,11.22562035,1.99692262,Cereal,High,0.6430254146
Clayey soil,37.57351149,1371.465966,6.40295459,4.907959631,Pulses,Low,0.6244122535
Black soil,21.62977271,506.0097125,7.009358667,4.015218538,Cereal,Low,0.7876960291
Sandy soil,26.04940488,825.1552016,7.713187645,4.861006362,Pulses,Medium,0.768942612
Red soil,23.03203686,2745.512499,7.589189491,3.467442009,Pulses,Low,0.5910998591
Red soil,34.34504934,1390.203706,11.18751627,4.009274661,Cereal,Medium,0.8202818847
Loamy soil,36.55317695,1485.072217,8.622649561,3.01907023,Pulses,Medium,0.9567303408
Black soil,35.79610062,1182.622444,10.29556216,1.350635339,Fruit/Vegetable,Low,0.8583793581
Clayey soil,15.32883147,2317.042382,10.54305176,3.145908025,Cereal,Low,0.8077191686
Loamy soil,29.54206547,1167.824138,7.411945078,1.021333556,Fruit/Vegetable,Medium,0.934133328
Sandy soil,15.88443374,693.7900204,8.764152274,2.736126942,Pulses,Medium,0.5682739818
Red soil,19.93341892,2563.674824,4.944920679,2.508564439,Pulses,Medium,0.880621516
Clayey soil,16.79986254,2816.120294,8.323536624,3.617665299,Fruit/Vegetable,Low,0.786062806
Red soil,31.13056704,1129.192161,6.819234021,4.224066284,Fruit/Vegetable,High,0.8143634704
Clayey soil,20.80871833,1604.505897,9.543291306,3.26579008,Pulses,Medium,0.6668622619
Black soil,30.76023529,1364.468176,5.549857057,1.910998312,Pulses,High,0.7349829865
Sandy soil,27.29889794,2262.948987,5.405382096,4.283448968,Fruit/Vegetable,High,0.720362397
Red soil,22.23757851,1865.95078,4.294228327,4.440893043,Fruit/Vegetable,Medium,0.9433886621
Black soil,15.55956963,2738.189345,10.72554508,2.981429393,Fruit/Vegetable,Medium,0.7255212779
Clayey soil,26.33117907,1046.489395,6.128051808,4.064778026,Fruit/Vegetable,Low,0.5890301637
Sandy soil,30.08914019,1349.548245,4.581410818,1.723998397,Commercial,High,0.6926432273
Clayey soil,18.74378745,2109.574568,8.168574958,3.173887511,Cereal,High,0.5293472161
Red soil,39.21518819,2838.278256,11.57211048,1.019662477,Fruit/Vegetable,Low,0.8883057165
Clayey soil,16.24964709,2815.507598,5.900377073,3.435540587,Pulses,Medium,0.9623738846
Black soil,29.82724892,1925.500385,6.337893784,1.889816348,Cereal,High,0.7787118299
Clayey soil,31.22326024,2222.934229,7.801479854,3.700746747,Commercial,Medium,0.9561772893
Sandy soil,20.52496599,1820.895494,8.098794487,1.442048592,Commercial,Low,0.5287404163
Sandy soil,23.8591087,1524.181517,11.97237835,1.376899555,Pulses,Medium,0.9082158432
Red soil,15.26779553,800.4733249,6.48948112,2.905665624,Cereal,Low,0.8793404099
Clayey soil,28.64488501,1205.209103,6.035218734,4.203674098,Commercial,Medium,0.6175269649
Loamy soil,29.57403772,2703.807092,10.07910803,2.851721231,Cereal,High,0.7327776235
Loamy soil,17.76193746,1273.734327,4.059482169,3.714834998,Pulses,High,0.6114931901
Black soil,34.59982943,1668.780959,5.538852882,2.006146277,Commercial,Medium,0.8340651466
Sandy soil,32.00906422,2655.60427,9.216376575,1.858672873,Pulses,Medium,0.5559262845
Black soil,18.56705497,2727.735532,9.595245641,2.968542642,Fruit/Vegetable,Medium,0.975413823
Loamy soil,33.83547716,905.7600762,4.401541513,1.099867404,Commercial,Low,0.7492339485
Sandy soil,22.74412412,1441.026411,4.045970145,3.405027077,Pulses,Medium,0.5640394094
Sandy soil,35.12195065,2993.094381,10.36434012,2.951175157,Cereal,High,0.7460549655
Clayey soil,24.02934725,2649.701461,11.92169058,3.222407009,Cereal,High,0.7563042707
Red soil,31.76690619,2339.720375,8.261074459,3.580216513,Pulses,High,0.8461581087
Clayey soil,27.72973274,748.3878456,11.82098656,1.002887648,Commercial,Medium,0.7188247929
Clayey soil,38.92157239,2481.593479,9.488109046,3.995571858,Cereal,High,0.9817031323
Red soil,17.14592263,1645.646767,10.1884545,3.130436668,Commercial,Medium,0.8923151611
Sandy soil,32.47405864,1870.608159,6.30961977,4.07664642,Fruit/Vegetable,Low,0.5121257043
Red soil,36.41358944,2911.281482,4.649264308,4.105662075,Fruit/Vegetable,Low,0.9898728873
Sandy soil,30.25118798,528.1839002,5.265057279,1.877762295,Pulses,High,0.5291125083
Black soil,35.37086418,2142.91439,5.20326268,2.519756904,Pulses,Low,0.784602258
Clayey soil,39.82990602,2470.029882,6.051066675,4.692652582,Commercial,Medium,0.6440340636
Clayey soil,28.74208069,1689.768707,7.583312259,1.072524167,Cereal,Low,0.7747650418
Clayey soil,31.6403086,836.3380723,4.062998899,1.889610945,Fruit/Vegetable,High,0.8951836865
Black soil,34.73054456,833.3607519,10.95917425,3.680257077,Commercial,High,0.9888850485
Clayey soil,20.69638606,2452.8281,7.226574231,2.220276484,Cereal,Low,0.7812549536
Sandy soil,32.65218297,1987.78842,5.668786888,4.618183416,Pulses,Low,0.8234722469
Black soil,34.56490219,508.5289356,11.32762636,4.490221356,Commercial,Low,0.5656234806
Clayey soil,35.87235354,2593.154299,6.898966753,1.210540825,Pulses,Medium,0.6177114449
Clayey soil,28.08756096,2538.434527,10.90507303,1.539296362,Cereal,High,0.6212752921
Black soil,38.0850422,2665.961674,10.81009015,3.172296051,Fruit/Vegetable,Low,0.9771590267
Loamy soil,29.93783666,2447.50495,9.645208347,1.85709922,Commercial,High,0.6849594677
Sandy soil,18.52036554,2745.884118,10.39313656,3.825316544,Pulses,Low,0.6076582226
Sandy soil,17.39507032,951.5495274,8.59233858,4.252551226,Pulses,Medium,0.7708955563
Black soil,16.74519577,1129.069366,8.653505021,3.294839077,Commercial,Medium,0.8948862006
Black soil,19.17194791,2070.85256,5.867842372,3.63184392,Fruit/Vegetable,High,0.8964211732
Loamy soil,16.51429623,2004.722287,6.514189049,3.230030629,Pulses,Medium,0.6491976734
Loamy soil,17.18745288,1849.106226,7.871813541,3.218308135,Commercial,Low,0.959742184
Black soil,16.91308746,1668.703215,4.6536757,1.367624841,Cereal,Low,0.5789171632
Sandy soil,37.71665727,998.5366315,10.8797101,3.324638328,Fruit/Vegetable,Low,0.5009093788
Black soil,32.85240625,1529.638801,6.557993804,1.578154386,Cereal,Low,0.912911518
Black soil,35.559418,2200.950609,4.95203472,1.972502065,Fruit/Vegetable,Low,0.7147749135
Red soil,19.55946137,2353.409334,5.432162132,1.166982043,Fruit/Vegetable,High,0.5824681987
Red soil,36.59457338,601.0199248,8.088586779,2.833650656,Cereal,Medium,0.7323321409
Loamy soil,39.40752225,2712.883341,4.913425895,1.979585904,Commercial,High,0.8547234881
Clayey soil,18.16358574,2806.449065,4.835282081,2.829000512,Commercial,Medium,0.5397549565
Loamy soil,17.74469632,2363.268804,4.678907073,2.641158504,Fruit/Vegetable,High,0.827796268
Black soil,24.25340183,2545.610589,9.785979481,2.020828327,Cereal,Low,0.5405294365
Sandy soil,34.74038686,2764.897531,8.972645479,4.619493736,Pulses,Medium,0.8682361358
Red soil,22.8658635,848.7238681,8.274856796,4.176844233,Cereal,Low,0.7735341797
Black soil,35.15977929,1606.347578,7.787609104,2.967840577,Pulses,High,0.7070407788
Red soil,18.05788909,2342.549482,10.77641436,4.173821079,Pulses,Low,0.5373657186
Loamy soil,29.94012757,2617.751617,4.279498539,4.72633462,Cereal,High,0.8167125141
Sandy soil,27.78294519,663.0065022,11.1169878,2.375679658,Fruit/Vegetable,Low,0.7646424355
Black soil,34.88447026,2847.791651,10.62298094,4.945058441,Pulses,Low,0.53931508
Clayey soil,29.40786148,2704.615426,4.753381887,1.722460225,Commercial,High,0.751612172
Loamy soil,39.37188873,1565.663882,11.38297357,4.598503314,Pulses,Medium,0.804996655
Red soil,16.61105325,1282.015143,6.745746834,4.295822464,Commercial,Low,0.7612262794
Sandy soil,29.03641496,2373.415956,5.645961778,3.779499506,Pulses,Medium,0.9915528502
Sandy soil,38.32787379,1302.878597,10.64160254,1.161347994,Commercial,Medium,0.8905025088
Clayey soil,23.20024851,981.1704762,10.14515528,3.45760437,Commercial,Medium,0.9249388091
Clayey soil,16.11836272,2541.53509,8.352242259,4.369073645,Fruit/Vegetable,Medium,0.7014405584
Black soil,29.0015647,828.837141,9.31414431,3.161452512,Fruit/Vegetable,High,0.6724622627
Clayey soil,35.59784541,2902.220562,11.0276057,1.827577074,Pulses,Medium,0.7157443778
Loamy soil,20.07573138,531.2971468,9.337337498,2.351535249,Fruit/Vegetable,High,0.7746153591
Red soil,26.54712476,1171.345637,9.354152651,2.243582143,Commercial,High,0.7742101849
Loamy soil,16.58989318,683.7551281,7.30463397,2.058985992,Cereal,High,0.7155750287
Sandy soil,39.46293034,580.4509367,4.593883642,4.368668548,Pulses,Medium,0.7868159426
Black soil,38.1653517,679.273988,8.354411839,3.197502382,Pulses,Low,0.9717470038
Clayey soil,17.44297227,1081.555273,8.858149513,4.734043708,Fruit/Vegetable,Low,0.5408871014
Black soil,18.46111698,1767.901443,11.76652702,4.245675861,Pulses,High,0.9210085234
Black soil,37.33030876,2754.371162,10.95026646,4.600378069,Cereal,High,0.9320894462
Clayey soil,19.07070978,1399.711014,4.80303382,3.328722164,Commercial,High,0.9460055673
Loamy soil,32.18262792,1988.686326,5.864720767,1.243968197,Commercial,High,0.6145788048
Red soil,37.73271846,1825.18427,7.99829779,3.374828033,Fruit/Vegetable,Medium,0.5849946414
Sandy soil,16.98122284,2530.917583,11.74688002,4.859415813,Fruit/Vegetable,High,0.5824231087
Clayey soil,22.27405901,2169.779364,9.368210001,4.559133307,Fruit/Vegetable,Low,0.6179418069
Sandy soil,22.35804554,1076.674161,7.996074916,3.601690613,Commercial,High,0.5616012418
Loamy soil,22.95396624,1795.075961,6.237011631,4.048333354,Pulses,Low,0.5440624081
Black soil,35.31089471,2269.663565,5.343589886,1.535578431,Pulses,High,0.8552171875
Black soil,21.33657803,2028.400374,5.551584635,3.078689035,Fruit/Vegetable,Medium,0.601692429
Sandy soil,28.56372102,2790.0615,6.799425482,1.725443216,Cereal,High,0.9780659228
Clayey soil,25.64550367,1653.140737,9.294115001,1.642765981,Pulses,Low,0.6237672291
Loamy soil,20.66631577,922.4626313,4.298801625,3.421888603,Cereal,Low,0.5161301578
Sandy soil,18.70237905,2737.679432,11.95333526,1.54836264,Fruit/Vegetable,Low,0.9330263119
Sandy soil,17.7723689,2267.474217,10.80866815,3.69513348,Commercial,Medium,0.7998605499
Loamy soil,38.03715835,1285.425133,8.83195318,2.621169569,Commercial,High,0.7209581363
Red soil,16.41089948,725.9255511,7.283721591,2.471918121,Pulses,High,0.8814564696
Clayey soil,39.77159433,938.2850924,11.13711793,3.468402862,Cereal,Low,0.5016369508
Sandy soil,15.84918028,1458.768794,7.436636444,1.506186785,Commercial,Low,0.642501421
Sandy soil,18.79708821,1550.818612,5.582852102,1.129096424,Pulses,High,0.7895147926
Loamy soil,30.08665006,703.4402706,11.91939788,2.479093912,Commercial,Low,0.7163542647
Clayey soil,25.5377145,1555.56558,4.164212303,2.401476179,Commercial,Medium,0.8122470218
Sandy soil,19.99199192,1360.557791,10.60891862,4.80060977,Cereal,Medium,0.6788374718
Black soil,20.56030204,1213.145055,11.99117009,3.289828309,Pulses,Low,0.6176281004
Sandy soil,18.32295887,2660.9697,4.021046381,3.095296833,Fruit/Vegetable,High,0.8146375185
Sandy soil,19.66696523,2665.890873,10.7943706,1.121649511,Commercial,Medium,0.808521104
Red soil,17.34029509,2214.749169,8.046509526,1.957039648,Pulses,Medium,0.7127283436
Black soil,22.27237543,771.9143818,5.238245656,3.008302555,Pulses,Medium,0.945779362
Red soil,27.15102284,642.726468,11.31463881,2.646691963,Fruit/Vegetable,Low,0.915394929
Black soil,39.60894841,2644.880231,7.88474535,1.829780464,Fruit/Vegetable,Low,0.9613007286
Clayey soil,21.22774525,646.3058461,9.59935638,3.017819948,Commercial,High,0.9500471585
Loamy soil,28.8398288,658.9411386,5.380426878,2.129105344,Commercial,Medium,0.7567797356
Sandy soil,26.35009329,664.2992771,6.1002341,4.299320848,Pulses,Low,0.9147734764
Loamy soil,31.30504339,956.5302776,7.609792323,2.387101144,Commercial,Low,0.9374135783
Red soil,37.08127688,1219.685134,11.4065234,3.685169564,Fruit/Vegetable,High,0.6135662662
Sandy soil,28.82601426,1708.810412,6.692104936,1.101331019,Fruit/Vegetable,Low,0.5048444951
Sandy soil,25.17263934,1557.381476,7.096746108,2.278274496,Cereal,High,0.8380319593
Red soil,32.93582792,2149.938623,11.28436475,3.265130798,Cereal,High,0.6424491284
Red soil,15.50471451,886.8006297,7.425263145,1.352693667,Pulses,Medium,0.505692594
Clayey soil,22.03415649,1586.59103,8.173095546,2.210562514,Cereal,High,0.7170631745
Red soil,39.45188183,1688.508542,4.21212951,4.755358154,Fruit/Vegetable,Medium,0.5551584112
Sandy soil,35.78218095,2465.69234,5.776925206,2.400481273,Pulses,Medium,0.8991718375
Clayey soil,18.96995267,2835.393617,7.514444523,1.62655709,Fruit/Vegetable,High,0.8516172736
Loamy soil,39.56898219,1278.353482,6.908768899,1.352042932,Pulses,Low,0.7986140099
Loamy soil,22.60533089,935.5075065,11.62267368,4.408110084,Cereal,High,0.5236794466
Black soil,18.75329941,585.6591385,9.690615812,4.33362646,Commercial,Medium,0.6053363224
Black soil,27.55862696,2751.43461,5.9542679,3.180129516,Commercial,High,0.9052038395
Clayey soil,34.4248081,1418.109158,7.583907802,1.317470448,Fruit/Vegetable,Medium,0.888749413
Red soil,22.22157771,2676.478676,8.603088491,1.70142699,Commercial,High,0.5307247576
Black soil,33.92647288,2223.510454,9.555142546,1.329185144,Pulses,Low,0.7376369686
Sandy soil,36.39297927,1251.001966,6.408561607,3.713404878,Commercial,Low,0.7926173402
Loamy soil,33.38257055,723.9992083,9.574080842,3.330319759,Pulses,Low,0.928630756
Black soil,23.99033445,1831.668468,6.320188896,4.557709893,Fruit/Vegetable,Medium,0.6886342294
Loamy soil,21.43239233,921.1696038,9.516553864,2.391420493,Cereal,Low,0.7696627055
Black soil,37.25422428,2886.946045,10.88069394,4.106464814,Cereal,Medium,0.675333597
Loamy soil,34.51204618,531.0708495,5.984726348,3.232333729,Pulses,Low,0.8331977076
Clayey soil,21.80259304,2446.725537,9.946204758,1.28666416,Commercial,Medium,0.622138625
Black soil,18.79878151,2974.189605,5.681835621,4.594493361,Cereal,Low,0.9008936784
Loamy soil,16.84918784,2837.205723,8.697808016,1.900870572,Commercial,Medium,0.5653345099
Red soil,20.6639511,2098.694523,11.17729624,3.879489153,Cereal,Low,0.7540623052
Sandy soil,22.94823108,2107.444789,5.847560913,3.604266376,Pulses,High,0.5180391973
Clayey soil,22.3946835,1079.002825,10.18156769,2.967595997,Commercial,Low,0.9646917204
Clayey soil,35.23981787,1212.394887,9.924746551,1.465318831,Cereal,High,0.9761938406
Red soil,34.37333732,1217.658066,9.689223623,1.704769885,Fruit/Vegetable,High,0.9150454491
Black soil,26.98941054,1744.859124,9.18173002,1.767533362,Commercial,Medium,0.9013391233
Loamy soil,15.789209,1570.430095,11.05043904,1.045090341,Commercial,Medium,0.6362759762
Red soil,33.15356054,2066.316634,7.905138058,4.848640357,Commercial,Medium,0.9084839204
Red soil,29.37135727,1301.143717,6.638764784,1.519440157,Commercial,Low,0.5388296595
Black soil,39.72803104,1758.472757,7.929187873,2.891908072,Pulses,High,0.6660338849
Sandy soil,25.9484249,634.0196181,7.540263638,4.17292752,Pulses,High,0.9740923562
Clayey soil,38.7541055,1032.410493,4.90973818,4.363407032,Commercial,Low,0.7552404303
Red soil,19.88500323,2211.353457,7.900088065,3.417268753,Commercial,Medium,0.989658147
Sandy soil,27.3280813,1515.98593,4.297599022,2.801000639,Commercial,High,0.8218698937
Red soil,33.262088,2857.383128,5.563871058,2.186067458,Pulses,Medium,0.5996616497
Black soil,16.61790444,2912.695326,9.367777431,2.454645206,Cereal,Medium,0.5558412305
Red soil,32.23349724,1283.536296,6.472943191,3.621853892,Cereal,Medium,0.8847298311
Sandy soil,33.40108723,1051.57529,7.03661943,3.351396219,Pulses,Low,0.6668566406
Clayey soil,31.41918629,1283.663364,8.82872365,1.118598163,Pulses,Low,0.6102465629
Clayey soil,22.05960612,719.7986144,7.658814956,4.953412682,Commercial,Low,0.6399045598
Sandy soil,27.89293551,964.6546044,6.30541596,3.765593239,Fruit/Vegetable,High,0.5122357889
Sandy soil,25.21489655,970.5846262,8.663905332,2.726481793,Pulses,Low,0.6215375813
Sandy soil,15.93924455,1800.075795,11.89107725,1.709216544,Cereal,Low,0.642426319
Red soil,26.33442716,1631.909192,11.97787176,2.575838162,Cereal,Low,0.5939490068
Red soil,15.91985481,2558.000039,9.043654357,3.905589976,Fruit/Vegetable,Low,0.7385771656
Black soil,15.97701562,1553.196978,9.234716218,2.931525329,Commercial,Medium,0.7794108937
Loamy soil,39.66051022,2396.503905,4.670193623,4.702282491,Pulses,Low,0.9630166676
Black soil,18.75687091,2912.139527,8.220352699,3.28772173,Pulses,Medium,0.9477212848
Sandy soil,16.52581003,2851.499564,11.79478262,3.689889976,Fruit/Vegetable,High,0.6274810347
Red soil,24.1259942,835.797161,6.155165947,4.89495332,Pulses,High,0.9815263508
Loamy soil,21.64174141,2111.156312,11.70766864,1.720729622,Pulses,Medium,0.530010275
Clayey soil,22.04740895,2426.056394,8.372955467,2.353766813,Commercial,High,0.9656725977
Sandy soil,24.11689526,1234.549103,11.6313931,3.505367881,Fruit/Vegetable,High,0.7546807782
Red soil,27.95388822,1077.629448,8.942474284,4.117414044,Cereal,High,0.9926271043
Black soil,36.98594585,1834.89875,7.17918168,4.384417785,Pulses,Low,0.6630398147
Clayey soil,39.20732107,755.6205577,8.925867012,3.136522989,Fruit/Vegetable,Medium,0.5684243422
Clayey soil,16.25630576,2165.130096,11.22192359,1.27977185,Commercial,Low,0.7518378923
Clayey soil,36.24371755,1358.595941,7.281180047,1.699263348,Pulses,High,0.8264825241
Black soil,30.67078154,2369.836195,11.73632174,2.510276771,Commercial,Low,0.8219161365
Sandy soil,25.58045322,1390.513909,4.427947586,3.751557616,Cereal,Low,0.9012190613
Loamy soil,27.60958996,2194.853406,8.20566152,2.292087817,Commercial,High,0.6314573174
Loamy soil,23.1902508,1928.785252,7.764659008,3.59218211,Commercial,Low,0.9162927639
Loamy soil,22.06373001,1155.052082,10.28894411,4.514405038,Pulses,Low,0.8235754291
Sandy soil,29.91615022,823.0478556,8.982845389,2.590003698,Cereal,Low,0.7144900132
Sandy soil,16.51470813,1235.855785,10.05123536,3.334348329,Commercial,Medium,0.5974144369
Clayey soil,23.91344635,2908.381495,11.53459362,3.203140227,Commercial,High,0.9884543009
Red soil,37.87435958,2869.399979,5.916383832,3.772439473,Pulses,Medium,0.7951503517
Sandy soil,22.46301787,646.0123744,7.02553115,2.369984275,Fruit/Vegetable,Medium,0.6135622608
Clayey soil,20.46019865,2548.172427,10.44653867,3.320149429,Commercial,Low,0.6897168747
Black soil,30.39869454,2782.996056,4.085957802,1.200506523,Pulses,High,0.5797108697
Black soil,32.37971047,2423.70368,11.7265503,1.937001134,Fruit/Vegetable,Medium,0.5060450384
Clayey soil,26.9308657,642.2429159,5.499811616,2.911139951,Fruit/Vegetable,Medium,0.9950873169
Sandy soil,32.50338289,1546.491238,11.14025977,1.019491909,Commercial,High,0.6949168433
Red soil,36.99145898,781.3817939,5.344893769,4.023179391,Pulses,Medium,0.7993851162
Black soil,30.38434646,2108.839723,10.78774104,3.826477061,Cereal,Low,0.653732248
Loamy soil,39.58960687,2265.860734,8.639806776,2.946575724,Cereal,High,0.5435936504
Sandy soil,31.80816867,2734.816375,4.947050376,3.06040568,Fruit/Vegetable,High,0.9115945143
Loamy soil,20.62984251,946.0051527,10.34197486,2.451317303,Pulses,Low,0.9735518427
Black soil,31.94800269,1255.171231,6.085080708,1.28369923,Commercial,Medium,0.9573127515
Black soil,19.67316539,1155.011368,4.34147164,4.827506116,Cereal,Low,0.862870438
Black soil,38.6825287,2727.38225,4.764500979,1.262074208,Fruit/Vegetable,Medium,0.8298559818
Loamy soil,24.40315467,792.9524085,7.973677235,2.340101526,Commercial,Medium,0.903382781
Clayey soil,18.39509677,2616.052337,11.90773716,3.103354407,Pulses,High,0.968807108
Black soil,27.41194497,2926.558886,6.622323818,4.114041253,Commercial,High,0.8752203064
Sandy soil,38.84793146,2691.012751,8.053096713,2.023240079,Cereal,Medium,0.9008759947
Black soil,18.8082392,742.0568804,9.707683528,2.844430327,Cereal,High,0.6959991601
Sandy soil,37.52574051,2608.69778,7.74405241,2.145278687,Commercial,Medium,0.6718279652
Red soil,26.11246311,1316.14355,6.667273622,1.925904133,Cereal,Medium,0.9295743635
Red soil,24.00972021,1276.469094,4.238660087,1.458704425,Pulses,Medium,0.6487626684
Loamy soil,17.24302023,1369.36052,11.62290379,4.815068307,Commercial,High,0.5634283971
Black soil,17.93498022,977.3717022,7.557551116,1.167808309,Pulses,Low,0.8034544768
Loamy soil,26.42493797,900.9052177,10.35054747,4.697480824,Cereal,Medium,0.8830978867
Clayey soil,17.76886692,1618.135677,7.135988286,3.454354204,Cereal,High,0.5952669509
Sandy soil,31.62255621,1311.780701,6.618572658,2.075391954,Commercial,Medium,0.9399270629
Clayey soil,21.0408648,923.1976483,6.516049155,4.710126513,Cereal,High,0.8546628005
Black soil,23.1420925,2304.878603,11.69686999,3.91597961,Pulses,High,0.9168699567
